"","Ticker","Return.2010.2017","Name","Sector","Sec","Factor.Value","Factor.P","Factor","Return.Percentile"
"325","O",2.21169557066962,"Realty Income Corporation","Real Estate","RE",-0.0145278157415453,0.698010383406129,"HML",0.501128668171558
"291","MNST",8.66751493546258,"Monster Beverage","Consumer Staples","CS",-0.0131726610597456,0.784818177676386,"HML",0.970654627539503
"84","CELG",2.74452806801119,"Celgene Corp.","Health Care","H",-0.0127981271440184,0.524436111152942,"HML",0.636568848758465
"438","VRTX",2.3874320575302,"Vertex Pharmaceuticals Inc","Health Care","H",-0.0121574049667394,0.584607555804187,"HML",0.564334085778781
"97","CMG",2.29041452825203,"Chipotle Mexican Grill","Consumer Discretionary","CD",-0.0119447369050735,0.00603087445241243,"HML",0.528216704288939
"439","VTR",0.688394722956171,"Ventas Inc","Real Estate","RE",-0.0117445353752479,0.0960789373307344,"HML",0.139954853273138
"85","CERN",2.19876597597085,"Cerner","Health Care","H",-0.0115287945086611,0.533661691803557,"HML",0.487584650112867
"214","HRB",0.540223503809029,"Block H&R","Financials","FI",-0.0114912202070032,0.587205318836452,"HML",0.106094808126411
"1301","DLTR",5.68320505121019,"Dollar Tree","Consumer Discretionary","CD",-0.0114858358588029,0.00309892462764022,"HML",0.920993227990971
"163","EXPE",2.39362489046789,"Expedia Inc.","Consumer Discretionary","CD",-0.0113656986797018,0.924075255137801,"HML",0.568848758465011
"27","ALXN",3.95709827979275,"Alexion Pharmaceuticals","Health Care","H",-0.0113284713418558,0.840446207639865,"HML",0.805869074492099
"32","AMGN",2.46716546191443,"Amgen Inc.","Health Care","H",-0.0103506626752253,0.374343006425005,"HML",0.584650112866817
"310","NFLX",24.1256553664921,"Netflix Inc.","Information Technology","IT",-0.0269009488846532,0.727058380745045,"RMW",1
"140","DXC",6.9968498192987,"DXC Technology","Information Technology","IT",-0.0251552348214188,0.892046402335054,"RMW",0.950338600451467
"4451","WELL",-1.0000435141984,"Welltower Inc.","Real Estate","RE",-0.0237255395643946,0.784194308176494,"RMW",0.00225733634311512
"56","BAC",1.01014963526724,"Bank of America Corp","Financials","FI",-0.0227997842813457,1.25103581504094e-06,"RMW",0.18510158013544
"2251","ILMN",6.15188255816309,"Illumina Inc","Health Care","H",-0.0226149880633333,0.0171700391803551,"RMW",0.936794582392777
"362","RF",2.58833528863997,"Regions Financial Corp.","Financials","FI",-0.0201842810739265,0.000211104892895561,"RMW",0.618510158013544
"304","MU",2.78986165898618,"Micron Technology","Information Technology","IT",-0.0172144598129058,0.684544564323873,"RMW",0.656884875846501
"390","STI",2.56085368244258,"SunTrust Banks","Financials","FI",-0.0170865498558148,0.00730286779461691,"RMW",0.611738148984199
"4381","VRTX",2.3874320575302,"Vertex Pharmaceuticals Inc","Health Care","H",-0.0166588425891586,0.110728374814097,"RMW",0.564334085778781
"70","BSX",1.75138745837958,"Boston Scientific","Health Care","H",-0.0163955228386561,0.0773999222122391,"RMW",0.383747178329571
"241","JNPR",0.10697994111193,"Juniper Networks","Information Technology","IT",-0.0161796624404085,0.742177004291276,"RMW",0.0474040632054176
"73","C",1.25592820256318,"Citigroup Inc.","Financials","FI",-0.0150556044556284,3.00656618155812e-05,"RMW",0.239277652370203
"298","MS",0.893919259466815,"Morgan Stanley","Financials","FI",-0.0148095278791192,4.09491076052411e-07,"RMW",0.169300225733634
"53","AYI",4.13328606683306,"Acuity Brands Inc","Industrials","I",-0.0144188132371096,0.0712786416629503,"RMW",0.828442437923251
"242","JPM",2.02652506727539,"JPMorgan Chase & Co.","Financials","FI",-0.0139991020394958,1.24528521096856e-06,"RMW",0.442437923250564
"2261","INCY",8.96947357894737,"Incyte","Health Care","H",-0.0137628628971984,0.00255151477451031,"RMW",0.972911963882618
"271","ALXN",3.95709827979275,"Alexion Pharmaceuticals","Health Care","H",-0.013369123694756,0.0513458124764217,"RMW",0.805869074492099
"465","ZION",2.98411354290135,"Zions Bancorp","Financials","FI",-0.0127960830726815,0.000717086348994836,"RMW",0.697516930022573
"207","HIG",1.70775457683618,"Hartford Financial Svc.Gp.","Financials","FI",-0.0125212290926453,0.184430234811468,"RMW",0.374717832957111
"174","FITB",2.57587655763627,"Fifth Third Bancorp","Financials","FI",-0.0123320689537682,0.000983514160319682,"RMW",0.616252821670429
"3101","NFLX",24.1256553664921,"Netflix Inc.","Information Technology","IT",-0.0266816504712065,0.0525790934216255,"CMA",1
"231","IPGP",11.3275758590918,"IPG Photonics Corp.","Information Technology","IT",-0.0197686542249662,0.513921605968947,"CMA",0.988713318284424
"379","SIVB",4.43904150767799,"SVB Financial","Financials","FI",-0.0184720822242512,0.0578931332092585,"CMA",0.853273137697517
"109","CRM",4.46538374766105,"Salesforce.com","Information Technology","IT",-0.0171796230035856,0.163329618182728,"CMA",0.857787810383747
"29","AMD",0.0597938144329897,"Advanced Micro Devices Inc","Information Technology","IT",-0.0167096776572416,0.897186631786041,"CMA",0.0406320541760722
"1401","DXC",6.9968498192987,"DXC Technology","Information Technology","IT",-0.01577684157495,0.0048756858732676,"CMA",0.950338600451467
"2981","MS",0.893919259466815,"Morgan Stanley","Financials","FI",-0.0147896507136201,0.000394559774325801,"CMA",0.169300225733634
"561","BAC",1.01014963526724,"Bank of America Corp","Financials","FI",-0.0139515236273923,3.57803804203168e-06,"CMA",0.18510158013544
"4","AAPL",7.14354527840214,"Apple Inc.","Information Technology","IT",-0.0130132845248508,0.00393451517939512,"CMA",0.952595936794582
