"","Sec","variable","value"
"410","IT","Intercept",-0.00700582331568702
"411","CD","Intercept",-0.00395763201046313
"412","I","Intercept",0.00637558053849307
"413","FI","Intercept",-0.00956953140570299
"414","CD","Intercept",-0.0232602930345249
"415","CD","Intercept",-0.0136621182997264
"416","CD","Intercept",-0.0155373184915564
"417","CS","Intercept",0.00666312446064799
"418","CD","Intercept",0.00726015991481082
"419","FI","Intercept",-0.00786527011996207
"420","CD","Intercept",-0.000306190241340966
"421","I","Intercept",-0.00469035407122201
"422","I","Intercept",-0.000855727557938583
"423","H","Intercept",0.00479622318255456
"424","I","Intercept",-0.0118847812510579
"425","I","Intercept",-0.00251462108408527
"426","I","Intercept",-0.0154885470769219
"427","H","Intercept",-0.00746351818151072
"428","FI","Intercept",-0.0103754832563682
"429","CD","Intercept",-0.00331214506351582
"430","E","Intercept",-0.00222144567229116
"431","H","Intercept",-0.00891181138781685
"432","RE","Intercept",-0.0126438777085486
"433","IT","Intercept",-0.00391792889181198
"434","I","Intercept",-0.00408368429321144
"435","T","Intercept",-0.0103344774607904
"436","H","Intercept",0.00042556780261441
"437","CD","Intercept",-0.0223362270337858
"438","IT","Intercept",-0.00260080409851719
"439","RE","Intercept",-0.0146937425725573
"440","M","Intercept",-0.012722868330947
"441","CS","Intercept",-0.0102050981880002
"442","CS","Intercept",-0.0154761411775441
"443","CD","Intercept",-0.0107657744577825
"444","I","Intercept",-0.00755296513417159
"445","H","Intercept",-0.00857050660467255
"446","U","Intercept",-0.00143800303955689
"447","FI","Intercept",-0.0097323985776848
"448","RE","Intercept",-0.0392605173126638
"449","IT","Intercept",-0.0123459061125455
"450","IT","Intercept",-0.019625560212582
"451","RE","Intercept",-0.0168159006278398
"452","CD","Intercept",-0.0153162670909181
"453","E","Intercept",-0.00970888724620102
"454","FI","Intercept",-0.0109629883843094
"455","CD","Intercept",-0.00989093630591106
"456","CD","Intercept",-0.0152365090625074
"457","U","Intercept",-0.00407556693952108
"458","IT","Intercept",-0.00804817254732497
"459","FI","Intercept",-0.0144515060350414
"460","I","Intercept",-0.0116768713074696
"461","CD","Intercept",-0.00675674021819831
"462","H","Intercept",-0.0119551812309552
"463","FI","Intercept",-0.00385963229949069
"464","I","Mkt-Rf",0.00990663105653435
"465","H","Mkt-Rf",0.00963658051355337
"466","IT","Mkt-Rf",0.0113775360394151
"467","IT","Mkt-Rf",0.00956430216902939
"468","I","Mkt-Rf",0.0118314598908109
"469","IT","Mkt-Rf",0.0111789613068749
"470","IT","Mkt-Rf",0.020705294655443
"471","CD","Mkt-Rf",0.00636207847532198
"472","U","Mkt-Rf",0.0118978774058888
"473","H","Mkt-Rf",0.00766935105573025
"474","FI","Mkt-Rf",0.0164087677838734
"475","FI","Mkt-Rf",0.0123852739666935
"476","H","Mkt-Rf",0.0143697432363093
"477","M","Mkt-Rf",0.0110712664220534
"478","IT","Mkt-Rf",0.00712954082937945
"479","I","Mkt-Rf",0.00825650742083616
"480","M","Mkt-Rf",0.016252027003934
"481","RE","Mkt-Rf",0.00907200525372998
"482","H","Mkt-Rf",0.00704809063286644
"483","H","Mkt-Rf",0.0182958220431109
"484","H","Mkt-Rf",0.00556363227399255
"485","U","Mkt-Rf",0.00495603714063569
"486","FI","Mkt-Rf",0.00981616330896016
"487","IT","Mkt-Rf",0.0122237050835362
"488","IT","Mkt-Rf",0.0122158072554595
"489","CS","Mkt-Rf",0.00701124705048097
"490","CD","Mkt-Rf",0.012207808803797
"491","I","Mkt-Rf",0.00572595140906862
"492","U","Mkt-Rf",0.00373818149167419
"493","FI","Mkt-Rf",0.00971854826921209
"494","FI","Mkt-Rf",0.0145401830639328
"495","RE","Mkt-Rf",0.00530815759156511
"496","U","Mkt-Rf",0.00253893762515877
"497","H","Mkt-Rf",0.0062504397899121
"498","I","Mkt-Rf",0.0106129316880116
"499","H","Mkt-Rf",0.00781906880704948
"500","IT","Mkt-Rf",0.0116563592686028
"501","E","Mkt-Rf",0.0166825709226624
"502","IT","Mkt-Rf",0.0105458799543737
"503","E","Mkt-Rf",0.0168039333937972
"504","IT","Mkt-Rf",0.0104654789787933
"505","H","Mkt-Rf",0.00596421277748872
"506","FI","Mkt-Rf",0.0086360723989953
"507","I","Mkt-Rf",0.0122414070846109
"508","E","Mkt-Rf",0.0111903109706399
"509","RE","Mkt-Rf",0.0070270989520986
"510","IT","Mkt-Rf",0.0123778839141476
"511","IT","Mkt-Rf",0.0142220127978509
"512","CD","Mkt-Rf",0.012235318064003
"513","CS","Mkt-Rf",0.00948549999532814
"514","I","Mkt-Rf",0.0157088036184181
"515","FI","Mkt-Rf",0.00858384497120706
"516","FI","Mkt-Rf",0.00615099971668008
"517","T","Mkt-Rf",0.00505476282888954
"518","IT","Mkt-Rf",0.0193477651227558
"519","IT","Mkt-Rf",0.0079601934323929
"520","CD","Mkt-Rf",0.00327303369699327
"521","RE","Mkt-Rf",0.00581128816527658
"522","M","Mkt-Rf",0.0120533875356135
"523","E","Mkt-Rf",0.0117330075614263
"524","M","Mkt-Rf",0.00797535336603527
"525","FI","Mkt-Rf",0.0113255040106044
"526","FI","Mkt-Rf",0.0108089621032055
"527","H","Mkt-Rf",0.00784903094827422
"528","FI","Mkt-Rf",0.00780724994474514
"529","H","Mkt-Rf",0.00824088997070184
"530","CD","Mkt-Rf",0.0154444177820468
"531","H","Mkt-Rf",0.00743176974983344
"532","FI","Mkt-Rf",0.0147351161333613
"533","FI","Mkt-Rf",0.00517324592772362
"534","I","Mkt-Rf",0.0114936203543339
"535","CD","Mkt-Rf",0.017601487080152
"536","CD","Mkt-Rf",0.0147815560559042
"537","RE","Mkt-Rf",0.00737186979059255
"538","H","Mkt-Rf",0.00713127147909332
"539","H","Mkt-Rf",0.00514071398818019
"540","IT","Mkt-Rf",0.00916036928808208
"541","I","Mkt-Rf",0.00502457633409657
"542","IT","Mkt-Rf",0.0104672706840144
"543","E","Mkt-Rf",0.0065637287888058
"544","IT","Mkt-Rf",0.0129884661165394
"545","CS","Mkt-Rf",0.00327852995376766
"546","FI","Mkt-Rf",0.00998640166003967
"547","H","Mkt-Rf",0.005210620362637
"548","CD","Mkt-Rf",0.0137965012433026
"549","CD","Mkt-Rf",0.0115988187126675
"550","I","Mkt-Rf",0.0145656732961041
"551","FI","Mkt-Rf",0.00300032423175793
"552","CD","Mkt-Rf",0.01528836334564
"553","H","Mkt-Rf",0.0102455654046511
"554","H","Mkt-Rf",0.0096928477479177
"555","U","Mkt-Rf",0.00529965156257362
"556","T","Mkt-Rf",0.00831755511733588
"557","H","Mkt-Rf",0.00760443710289337
"558","M","Mkt-Rf",0.0132337388424825
"559","FI","Mkt-Rf",0.0132773827022919
"560","CD","Mkt-Rf",0.00755500859305235
"561","E","Mkt-Rf",0.0105623715934919
"562","CD","Mkt-Rf",0.00429053209176461
"563","FI","Mkt-Rf",0.00810274418525592
"564","CS","Mkt-Rf",0.00470705510086612
"565","H","Mkt-Rf",0.00362041382686898
"566","E","Mkt-Rf",0.0117321502889423
"567","FI","Mkt-Rf",0.00721669514576479
"568","I","Mkt-Rf",0.0080273796529616
"569","IT","Mkt-Rf",0.0141076532825052
"570","FI","Mkt-Rf",0.0143449425371983
"571","IT","Mkt-Rf",0.0173182244780876
"572","CS","Mkt-Rf",0.00475539627574841
"573","FI","Mkt-Rf",0.00820392501742295
"574","U","Mkt-Rf",0.00305981197095383
"575","CS","Mkt-Rf",0.0064223670205974
"576","IT","Mkt-Rf",0.0107736492628391
"577","CS","Mkt-Rf",0.00637707113309069
"578","CD","Mkt-Rf",0.0116979007654769
"579","FI","Mkt-Rf",0.00951187816281109
"580","CS","Mkt-Rf",0.00403937486097935
"581","E","Mkt-Rf",0.0111003423517671
"582","E","Mkt-Rf",0.00957257784447922
"583","U","Mkt-Rf",0.00214963179550322
"584","CS","Mkt-Rf",0.00663376119593563
"585","H","Mkt-Rf",0.00291259853791731
"586","IT","Mkt-Rf",0.0146102049963169
"587","CS","Mkt-Rf",0.00738773455585464
"588","RE","Mkt-Rf",0.00473014746407738
"589","I","Mkt-Rf",0.0116179041036903
"590","I","Mkt-Rf",0.0126935159054554
"591","CS","Mkt-Rf",0.00940793173819575
